"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","PeriodCode","Value",
"44","Number of passenger cars per 1000 inhabitants","Passenger car rate","Per 1000 inhabitants","008","ALB","Albania","2005","65",
"44","Number of passenger cars per 1000 inhabitants","Passenger car rate","Per 1000 inhabitants","008","ALB","Albania","2006","75",
"44","Number of passenger cars per 1000 inhabitants","Passenger car rate","Per 1000 inhabitants","008","ALB","Albania","2007","80",
"44","Number of passenger cars per 1000 inhabitants","Passenger car rate","Per 1000 inhabitants","008","ALB","Albania","2008","90",
"44","Number of passenger cars per 1000 inhabitants","Passenger car rate","Per 1000 inhabitants","008","ALB","Albania","2009","96",
"44","Number of passenger cars per 1000 inhabitants","Passenger car rate","Per 1000 inhabitants","008","ALB","Albania","2010","101",
"44","Number of passenger cars per 1000 inhabitants","Passenger car rate","Per 1000 inhabitants","008","ALB","Albania","2011","104",
"44","Number of passenger cars per 1000 inhabitants","Passenger car rate","Per 1000 inhabitants","008","ALB","Albania","2012","103",
"44","Number of passenger cars per 1000 inhabitants","Passenger car rate","Per 1000 inhabitants","008","ALB","Albania","2013","118",
"44","Number of passenger cars per 1000 inhabitants","Passenger car rate","Per 1000 inhabitants","008","ALB","Albania","2014","131",
"44","Number of passenger cars per 1000 inhabitants","Passenger car rate","Per 1000 inhabitants","008","ALB","Albania","2015","140",
"44","Number of passenger cars per 1000 inhabitants","Passenger car rate","Per 1000 inhabitants","008","ALB","Albania","2016","152",
"44","Number of passenger cars per 1000 inhabitants","Passenger car rate","Per 1000 inhabitants","008","ALB","Albania","2017","147",
"44","Number of passenger cars per 1000 inhabitants","Passenger car rate","Per 1000 inhabitants","008","ALB","Albania","2018","160",
"44","Number of passenger cars per 1000 inhabitants","Passenger car rate","Per 1000 inhabitants","008","ALB","Albania","2019","175",
"44","Number of passenger cars per 1000 inhabitants","Passenger car rate","Per 1000 inhabitants","008","ALB","Albania","2020","190",
"44","Number of passenger cars per 1000 inhabitants","Passenger car rate","Per 1000 inhabitants","020","AND","Andorra","2005","..",
"44","Number of passenger cars per 1000 inhabitants","Passenger car rate","Per 1000 inhabitants","020","AND","Andorra","2006","..",
"44","Number of passenger cars per 1000 inhabitants","Passenger car rate","Per 1000 inhabitants","020","AND","Andorra","2007","..",
"44","Number of passenger cars per 1000 inhabitants","Passenger car rate","Per 1000 inhabitants","020","AND","Andorra","2008","..",
"44","Number of passenger cars per 1000 inhabitants","Passenger car rate","Per 1000 inhabitants","020","AND","Andorra","2009","..",
"44","Number of passenger cars per 1000 inhabitants","Passenger car rate","Per 1000 inhabitants","020","AND","Andorra","2010","..",
"44","Number of passenger cars per 1000 inhabitants","Passenger car rate","Per 1000 inhabitants","020","AND","Andorra","2011","..",
"44","Number of passenger cars per 1000 inhabitants","Passenger car rate","Per 1000 inhabitants","020","AND","Andorra","2012","..",
"44","Number of passenger cars per 1000 inhabitants","Passenger car rate","Per 1000 inhabitants","020","AND","Andorra","2013","315",
"44","Number of passenger cars per 1000 inhabitants","Passenger car rate","Per 1000 inhabitants","020","AND","Andorra","2014","..",
"44","Number of passenger cars per 1000 inhabitants","Passenger car rate","Per 1000 inhabitants","020","AND","Andorra","2015","..",
"44","Number of passenger cars per 1000 inhabitants","Passenger car rate","Per 1000 inhabitants","020","AND","Andorra","2016","..",
"44","Number of passenger cars per 1000 inhabitants","Passenger car rate","Per 1000 inhabitants","020","AND","Andorra","2017","..",
"44","Number of passenger cars per 1000 inhabitants","Passenger car rate","Per 1000 inhabitants","020","AND","Andorra","2018","..",
"44","Number of passenger cars per 1000 inhabitants","Passenger car rate","Per 1000 inhabitants","020","AND","Andorra","2019","..",
"44","Number of passenger cars per 1000 inhabitants","Passenger car rate","Per 1000 inhabitants","020","AND","Andorra","2020","..",
"44","Number of passenger cars per 1000 inhabitants","Passenger car rate","Per 1000 inhabitants","051","ARM","Armenia","2005","..",
"44","Number of passenger cars per 1000 inhabitants","Passenger car rate","Per 1000 inhabitants","051","ARM","Armenia","2006","..",
"44","Number of passenger cars per 1000 inhabitants","Passenger car rate","Per 1000 inhabitants","051","ARM","Armenia","2007","..",
